smile1,smile2,cid1,cid2,morgan,maccs,rdkit,atompairs,torsion
CCCOC(=O)c1cc(NC(=O)CSc2nc(C)cc(COC)c2C#N)ccc1Cl,C#Cc1ccccc1C(C(=O)Nc1c(C)cccc1Cl)N(C)C(=O)C(CC(N)=O)NC(=O)OC(C)(C)C,16487135,18049412,0.8767123287671232,0.4594594594594594,0.5824315722469764,0.7794970986460348,0.9252336448598131
OC(COc1ccc(OC(F)(F)F)cc1)CN1CCN(c2nc3ccc(Cl)cc3s2)CC1,COc1ccc(C2CC(=O)ON2)cc1,2795877,18668435,0.8823529411764706,0.6666666666666667,0.7986381322957199,0.9357142857142857,0.8947368421052632
CC(C)(C)NCCCOc1ccccc1F,COc1cc(CN(C)C(=O)c2cn(-c3ccccc3)nc2-c2ccccc2)ccc1OC(F)F,2248089,4842766,0.8981481481481481,0.6666666666666667,0.8622493461203139,0.8943396226415095,0.8987341772151899
CCN(CC)[P+](=S)c1ccc(-n2ccnc2C)cc1,COC(=O)c1c(C)[nH]c(C(=O)N2CCCC2c2ccc(OC)c(OC)c2)c1C,6338137,18147646,0.9230769230769232,0.625,0.7863309352517985,0.8353909465020576,0.9789473684210527
Cc1ccc(NC(=O)CNC23CC4CC(CC(C4)C2)C3)cc1,COc1cc(S(=O)(=O)N2CCC(C(=O)O)CC2)c(OC)cc1Br,8180498,16645320,0.896551724137931,0.7906976744186046,0.812375249500998,0.9026548672566371,1.0
Cc1ccc2[nH]c(=O)c(C(c3nnnn3Cc3ccccc3)[NH+]3CCCCC3)cc2c1,Cc1ccc(SCCNC(=O)COC(=O)c2ccco2)cc1,6970417,7603773,0.8688524590163934,0.641025641025641,0.7823485415108452,0.8089887640449438,0.9130434782608696
Cc1ccc(S(=O)(=O)NNC(=O)C(C)(C)C)cc1,O=C(Cn1c(C2CCCCC2)nc2ccccc21)Nc1ccccc1Cl,282081,17028722,0.8947368421052632,0.8192771084337349,0.83008356545961,0.883248730964467,1.0
Cc1cccc(C(=O)C(C#N)=NNc2c(C)n(C)n(-c3ccccc3)c2=O)c1,CCOc1cc(C=C(C#N)C(=O)Nc2cc(Cl)ccc2Cl)cc(Br)c1O,1104596,3773995,0.8389830508474576,0.6,0.6914323962516733,0.761437908496732,0.8924731182795699
CN=C1SC(CC(=O)Nc2ccccc2OC(F)F)C(=O)N1C,CCN=C1SC(CC(=O)Nc2ccc(OC)c(Cl)c2)C(=O)N1CC,1385697,8036850,0.71,0.171875,0.2797979797979798,0.6284722222222222,0.6065573770491803
Cc1nc2ccccn2c1-c1ccnc(SCc2ccc(Cl)cc2)n1,Cc1c(C#N)c(NC(=O)COC(=O)c2cc(=O)[nH]c3ccccc23)n(-c2ccccc2)c1C,2745488,16596501,0.9117647058823528,0.5857142857142856,0.6389913899138991,0.78,0.8380952380952381
Cc1ccc(CSc2nnc(-c3ccncc3)n2-c2ccccc2)cc1,Cc1ccc(NC(c2ccccc2)C(C#N)N=C(c2ccccc2)c2ccccc2)cc1,1150524,15110751,0.8367346938775511,0.6888888888888889,0.7584541062801933,0.7218934911242604,0.782608695652174
CCCCOC(=O)c1ccccc1N1C(=O)C(Cl)=C(Nc2ccc(F)cc2)C1=O,CC(=O)NC(C)CC(=O)OCc1ccc(F)cc1,1694570,11086281,0.8105263157894737,0.5538461538461539,0.7887082976903337,0.7191489361702128,0.875
COc1ccc(Cn2c(=S)[nH]c3cc(C(=O)NCC4CCCO4)ccc3c2=O)cc1,O=CNc1ncccc1O,3542915,12369844,0.912621359223301,0.6164383561643836,0.8693771626297577,0.9176954732510288,0.9583333333333334
Cc1ccc(NC(C)C(=O)Nc2ccccc2F)cc1F,COc1cccc(Cn2cc(NC(=O)C=Cc3ccc(OC(F)F)cc3)cn2)c1,8484131,19410208,0.8793103448275862,0.6206896551724138,0.8006644518272426,0.7718631178707225,0.8947368421052632
COc1cc(C(=O)CC(=O)N2CCN(Cc3ccccc3)CC2)cc(OC)c1OC,CN(c1ccccc1)S(=O)(=O)c1cc(C(=O)NCC2(c3ccccc3)CC2)ccc1Cl,211954,17481294,0.8301886792452831,0.6705882352941177,0.6913680781758957,0.7361111111111112,0.9009009009009009
COC(=O)c1ccc(CSc2nc(C)nc3sc(C)c(C)c23)cc1,Cc1cc(N2CCN(c3ccnc(C(C)O)n3)CC2C)nc(CO)n1,7362732,9924225,0.8849557522123894,0.6212121212121212,0.7212874908558888,0.8129770992366412,0.968421052631579
Cc1cc(C)c(C)c(S(=O)(=O)NC(C)C(=O)OCc2nc3ccccc3s2)c1C,COc1cc(OC)cc(-c2[nH]c3c(C)cc(OC)cc3c2CCCCN)c1,2523941,4434306,0.9203539823008848,0.6075949367088608,0.6373021335168616,0.80078125,0.9038461538461539
O=C(CN1CCCCCC1=O)NNC(=O)Cn1cnc2ccccc2c1=O,O=C1NC(=O)C(C2CCCc3cc(Oc4nccc5ccccc45)ccc32)S1,9219053,11653995,0.8373983739837398,0.5342465753424658,0.6652391149179158,0.6787003610108303,0.8811881188118812
Cc1ccc(NC(=O)c2cc(C)sc2C)c(F)c1,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(C(=O)NC1(C)COC(C)(C)OC1)O2,18196592,19023997,0.9052631578947368,0.7164179104477613,0.7390300230946882,0.8771186440677966,0.9895833333333334
CCOC(=O)C1CCN(C(=O)c2ccc(Cl)c(Cl)c2)CC1,COc1cccc(C(=O)Nc2ccc(-n3nc(OC(C)C)nc3-c3ccc(C)cc3)cc2)c1,789224,1026798,0.8611111111111112,0.6712328767123288,0.7470071827613727,0.8695652173913043,0.9148936170212766
N#CCOc1ccc2c(c1)OCC2=O,COC(=O)CC1=NN(c2ccc(OC)cc2)C(=O)C1C(C)=NCc1ccco1,4314116,7450347,0.8952380952380953,0.640625,0.7834803528468324,0.8884297520661157,0.961038961038961
O=C(CCCl)OCCS,O=C(Cc1c(F)cccc1Cl)Nc1ccc(N2CCOCC2)cc1N1CCOCC1,10899092,16260034,0.942528735632184,0.7241379310344828,0.9528936742934052,0.949238578680203,1.0
CC(C)(C)C(NC(=O)c1ccc(F)cc1)Nc1c(Nc2cccnc2)c(=O)c1=O,C=CC(=O)N(C)C(OC)C(=O)O,10111346,18432069,0.931818181818182,0.7580645161290323,0.8733333333333333,0.95,1.0
